field,band,peak,snr_value
SPLUS-n11s26.fits,i,19.292345,10
SPLUS-n11s26.fits,i,17.992373,50
SPLUS-n11s26.fits,r,21.10394,3
SPLUS-n11s26.fits,r,20.230095,5
SPLUS-n11s26.fits,r,19.665684,10
SPLUS-n11s26.fits,r,17.70382,50
SPLUS-n11s26.fits,u,20.805027,3
SPLUS-n11s26.fits,u,19.03962,5
SPLUS-n11s26.fits,u,19.049093,10
SPLUS-n11s26.fits,u,17.480516,50
SPLUS-n11s26.fits,z,20.58989,3
SPLUS-n11s26.fits,z,19.425274,5
SPLUS-n11s26.fits,z,18.72414,10
SPLUS-n11s26.fits,z,17.438494,50
SPLUS-n11s26.fits,g,20.92749,3
SPLUS-n11s26.fits,g,19.687965,5
SPLUS-n11s26.fits,g,19.685583,10
SPLUS-n11s26.fits,g,17.93247,50
SPLUS-s29s30.fits,J0378,19.970856,3
SPLUS-s29s30.fits,J0378,18.550964,5
